General Rank,US News Ranking,F1 Slots Ranking,Regional Ranking,University,City,State,% Chance,Rank Class (Estimated),Private / Public,Category
3,2,2,-,Massachusetts Institute  of Technology,Boston,Massachusetts,90% to 99%,Excellent,Private,National Universities
,,28,2,Bentley University,Waltham,Massachusetts,90% to 99%,Excellent,Private,Regional Universities
20,42,31,-,Boston University,Boston,Massachusetts,90% to 99%,Excellent,Private,National Universities
36,28,32,-,Tufts University,Boston,Massachusetts,90% to 99%,Excellent,Private,National Universities
55,36,45,-,Boston College,Boston,Massachusetts,90% to 99%,Excellent,Private,National Universities
49,49,49,-,Northeastern University,Boston,Massachusetts,90% to 99%,Excellent,Private,National Universities
62,42,52,-,Brandeis  University,Waltham,Massachusetts,90% to 99%,Excellent,Public,National Universities
,,46,8,Emerson  College,Boston,Massachusetts,80% to 89%,Very Good,Private,Regional Universities
57,68,62,-,University of Massachusetts--Amherst,Amherst,Massachusetts,80% to 89%,Very Good,Public,National Universities
103,103,103,-,Clark University,Worcester,Massachusetts,80% to 89%,Very Good,Private,National Universities
136,136,136,-,Simmons  University,Boston,Massachusetts,70% to 79%,Good,Private,National Universities
179,179,179,-,University of Massachusetts--Lowell,Lowell,Massachusetts,70% to 79%,Good,Public,National Universities
,,96,23,Endicott  College,Beverly,Massachusetts,70% to 79%,Good,Private,Regional Universities
90,227,158,-,University of Massachusetts--Boston,Boston,Massachusetts,60% to 69%,Average,Public,National Universities
213,213,213,-,Western  New England University,Springfield,Massachusetts,60% to 69%,Average,Private,National Universities
227,227,227,-,University of Massachusetts--Dartmouth,North Dartmouth,Massachusetts,60% to 69%,Average,Public,National Universities
249,249,249,-,Lesley University,Cambridge,Massachusetts,60% to 69%,Average,Private,National Universities
,,106,27,Springfield College,Springfield,Massachusetts,60% to 69%,Average,Private,Regional Universities
,,123,31,Wentworth Institute  of Technology,Boston,Massachusetts,60% to 69%,Average,Private,Regional Universities
,,126,32,Assumption University,Worcester,Massachusetts,60% to 69%,Average,Private,Regional Universities
,,129,33,Merrimack College,North Andover,Massachusetts,60% to 69%,Average,Private,Regional Universities
,,144,34,Suffolk University,Boston,Massachusetts,60% to 69%,Average,Private,Regional Universities
,,287,90,Elms College,Chicopee,Massachusetts,50% to 59%,Below Average,Private,Regional Universities
,,290,90,Westfield  State University,Westfield,Massachusetts,50% to 59%,Below Average,Public,Regional Universities
,,295,90,Bay Path University,Longmeadow,Massachusetts,50% to 59%,Below Average,Public,Regional Universities
,,321,97,Bridgewater State University,Bridgewater,Massachusetts,50% to 59%,Below Average,Public,Regional Universities
,,329,103,Fitchburg  State University,Fitchburg,Massachusetts,50% to 59%,Below Average,Private,Regional Universities
,,339,103,Framingham State University,Framingham,Massachusetts,50% to 59%,Below Average,Public,Regional Universities
,,349,109,Worcester State University,Worcester,Massachusetts,50% to 59%,Below Average,Private,Regional Universities
,,369,114,Lasell University,Newton,Massachusetts,50% to 59%,Below Average,Public,Regional Universities
,,400,126,Salem State University,Salem,Massachusetts,50% to 59%,Below Average,Public,Regional Universities
,,403,126,Curry College,Milton,Massachusetts,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,American  International College,Springfield,Massachusetts,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Anna Maria College,Paxton,Massachusetts,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Cambridge College,Cambridge,Massachusetts,50% to 59%,Below Average,Private,Regional Universities
18,23,20,-,University of Michigan--Ann Arbor,Ann Arbor,Michigan,90% to 99%,Excellent,Public,National Universities
,,34,4,Calvin University,Grand Rapids,Michigan,90% to 99%,Excellent,Private,Regional Universities
55,83,69,-,Michigan  State University,East Lansing,Michigan,80% to 89%,Very Good,Public,National Universities
,,63,12,Kettering  University,Flint,Michigan,70% to 79%,Good,Private,Regional Universities
,,103,27,Grand Valley State University,Allendale,Michigan,70% to 79%,Good,Public,Regional Universities
,,120,31,University of Michigan--Dearborn,Dearborn,Michigan,70% to 79%,Good,Public,Regional Universities
,,138,37,Lawrence  Technological University,Southfield,Michigan,70% to 79%,Good,Private,Regional Universities
148,148,148,-,Michigan  Technological University,Houghton,Michigan,70% to 79%,Good,Public,National Universities
187,187,187,-,University of Detroit Mercy,Detroit,Michigan,70% to 79%,Good,Private,National Universities
,,194,54,Spring Arbor University,Spring Arbor,Michigan,60% to 69%,Average,Private,Regional Universities
239,239,239,-,Central  Michigan  University,Mount Pleasant,Michigan,60% to 69%,Average,Public,National Universities
,,244,74,Cornerstone University,Grand Rapids,Michigan,60% to 69%,Average,Private,Regional Universities
,,247,74,Madonna  University,Livonia,Michigan,60% to 69%,Average,Private,Regional Universities
249,249,249,-,Wayne State University,Detroit,Michigan,60% to 69%,Average,Public,National Universities
263,263,263,-,Western  Michigan  University,Kalamazoo,Michigan,60% to 69%,Average,Public,National Universities
,,276,82,Northern  Michigan  University,Marquette,Michigan,60% to 69%,Average,Public,Regional Universities
,,307,95,Davenport University,Grand Rapids,Michigan,60% to 69%,Average,Private,Regional Universities
,,368,112,Saginaw  Valley State University,University Center,Michigan,50% to 59%,Below Average,Public,Regional Universities
299-391,299-391,299-391,-,Oakland University,Rochester,Michigan,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,University of Michigan--Flint,Flint,Michigan,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Andrews  University,Berrien Springs,Michigan,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Eastern Michigan  University,Ypsilanti,Michigan,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Ferris State University,Big Rapids,Michigan,50% to 59%,Below Average,Private,National Universities
,,,119-157,Baker College of Flint,Owosso,Michigan,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Siena Heights  University,Adrian,Michigan,50% to 59%,Below Average,Private,Regional Universities
54,68,61,-,University of Minnesota--Twin Cities,St. Paul,Minnesota,80% to 89%,Very Good,Public,National Universities
,,61,12,Hamline  University,St. Paul,Minnesota,70% to 79%,Good,Private,Regional Universities
,,94,24,Augsburg  University,Minneapolis,Minnesota,70% to 79%,Good,Private,Regional Universities
,,124,34,St. Mary's University of Minnesota,Winona,Minnesota,70% to 79%,Good,Private,Regional Universities
136,136,136,-,University of St. Thomas  (MN),St. Paul,Minnesota,70% to 79%,Good,Private,National Universities
,,150,41,University of Minnesota--Duluth,Duluth,Minnesota,70% to 79%,Good,Public,Regional Universities
,,155,41,Winona  State University,Winona,Minnesota,70% to 79%,Good,Public,Regional Universities
,,165,46,University of Northwestern--St. Paul,St. Paul,Minnesota,70% to 79%,Good,Private,Regional Universities
202,202,202,-,Bethel University (MN),St. Paul,Minnesota,60% to 69%,Average,Public,National Universities
227,227,227,-,St. Catherine  University,St. Paul,Minnesota,60% to 69%,Average,Private,National Universities
239,239,239,-,The College of St. Scholastica,Duluth,Minnesota,60% to 69%,Average,Private,National Universities
,,259,79,Minnesota State University--Mankato,Mankato,Minnesota,60% to 69%,Average,Public,Regional Universities
,,286,88,Bemidji  State University,Bemidji,Minnesota,60% to 69%,Average,Public,Regional Universities
,,291,88,Concordia  University--St. Paul,St. Paul,Minnesota,60% to 69%,Average,Private,Regional Universities
,,294,88,Minnesota State University--Moorhead,Moorhead,Minnesota,60% to 69%,Average,Public,Regional Universities
,,317,95,St. Cloud State University,St. Cloud,Minnesota,60% to 69%,Average,Public,Regional Universities
299-391,299-391,299-391,-,Metropolitan State University,St. Paul,Minnesota,50% to 59%,Below Average,Public,National Universities
,,,119-157,Crown College,St. Bonifacius,Minnesota,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Southwest Minnesota State University,Marshall,Minnesota,50% to 59%,Below Average,Public,Regional Universities
148,148,148,-,University of Mississippi,University,Mississippi,70% to 79%,Good,Public,National Universities
196,196,196,-,Mississippi State University,Mississippi State,Mississippi,70% to 79%,Good,Public,National Universities
299-391,299-391,299-391,-,William  Carey University,Hattiesburg,Mississippi,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Jackson State University,Jackson,Mississippi,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,University of Southern  Mississippi,Hattiesburg,Mississippi,50% to 59%,Below Average,Public,National Universities
25,14,19,-,Washington University in St. Louis,St. Louis,Missouri,90% to 99%,Excellent,Private,National Universities
,,40,6,Truman State University,Kirksville,Missouri,80% to 89%,Very Good,Public,Regional Universities
103,103,103,-,Saint Louis University,"St. Louis,",Missouri,80% to 89%,Very Good,Private,National Universities
,,58,12,Drury University,Springfield,Missouri,70% to 79%,Good,Private,Regional Universities
,,70,16,Webster  University,St. Louis,Missouri,70% to 79%,Good,Private,Regional Universities
,,99,24,Rockhurst  University,Kansas City,Missouri,70% to 79%,Good,Private,Regional Universities
122,122,122,-,University of Missouri,Columbia,Missouri,70% to 79%,Good,Public,National Universities
179,179,179,-,Missouri  University of Science  and Techno,Rolla,Missouri,70% to 79%,Good,Public,National Universities
,,175,51,Fontbonne University,St. Louis,Missouri,60% to 69%,Average,Private,Regional Universities
202,202,202,-,Maryville  University of St. Louis,St Louis,Missouri,60% to 69%,Average,Private,National Universities
239,239,239,-,University of Missouri--St. Louis,St. Louis,Missouri,60% to 69%,Average,Public,National Universities
249,249,249,-,University of Missouri--Kansas City,Kansas City,Missouri,60% to 69%,Average,Public,National Universities
,,252,74,Southeast  Missouri  State University,Cape Girardeau,Missouri,60% to 69%,Average,Public,Regional Universities
,,254,74,University of Central  Missouri,Warrensburg,Missouri,60% to 69%,Average,Public,Regional Universities
,,325,101,Northwest Missouri  State University,Maryville,Missouri,50% to 59%,Below Average,Public,Regional Universities
,,354,108,Stephens  College,Columbia,Missouri,50% to 59%,Below Average,Private,Regional Universities
,,376,117,Southwest Baptist University,Bolivar,Missouri,50% to 59%,Below Average,Private,Regional Universities
299-391,299-391,299-391,-,William  Woods University,Fulton,Missouri,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Missouri  State University,Springfield,Missouri,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Lindenwood University,St. Charles,Missouri,50% to 59%,Below Average,Private,National Universities
,,,119-157,Avila University,Kansas City,Missouri,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Columbia  College (MO),Columbia,Missouri,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Evangel  University,Springfield,Missouri,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Missouri  Baptist University,St. Louis,Missouri,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Missouri  Western State University,St. Joseph,Missouri,50% to 59%,Below Average,Public,Regional Universities
,,,119-157,Park University,Parkville,Missouri,50% to 59%,Below Average,Private,Regional Universities
,,127,35,Montana  Technological University,Butte,Montana,70% to 79%,Good,Private,Regional Universities
,,192,55,Rocky Mountain  College,Billings,Montana,60% to 69%,Average,Private,Regional Universities
263,263,263,-,Montana  State University,Bozeman,Montana,60% to 69%,Average,Public,National Universities
277,277,277,-,University of Montana,Missoula,Montana,60% to 69%,Average,Public,National Universities
,,,94-122,Montana  State University--Billings,Billings,Montana,50% to 59%,Below Average,Public,Regional Universities
103,103,103,-,Creighton  University,Omaha,Nebraska,80% to 89%,Very Good,Private,National Universities
,,97,24,Nebraska  Wesleyan  University,Lincoln,Nebraska,70% to 79%,Good,Private,Regional Universities
,,127,34,University of Nebraska--Kearney,Kearney,Nebraska,70% to 79%,Good,Public,Regional Universities
,,136,37,Concordia  University (NE),Seward,Nebraska,70% to 79%,Good,Private,Regional Universities
136,136,136,-,University of Nebraska--Lincoln,Lincoln,Nebraska,70% to 79%,Good,Public,National Universities
,,214,64,College of Saint Mary,Omaha,Nebraska,60% to 69%,Average,Private,Regional Universities
263,263,263,-,University of Nebraska--Omaha,Omaha,Nebraska,60% to 69%,Average,Public,National Universities
,,301,88,Wayne State College,Wayne,Nebraska,60% to 69%,Average,Public,Regional Universities
,,,119-157,Bellevue  University,Bellevue,Nebraska,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Chadron State College,Chadron,Nebraska,50% to 59%,Below Average,Public,Regional Universities
,,,119-157,Midland University,Fremont,Nebraska,50% to 59%,Below Average,Private,Regional Universities
,,,119-157,Peru State College,Peru,Nebraska,50% to 59%,Below Average,Public,Regional Universities
227,227,227,-,University of Nevada--Reno,Reno,Nevada,60% to 69%,Average,Public,National Universities
249,249,249,-,University of Nevada--Las Vegas,Las Vegas,Nevada,60% to 69%,Average,Public,National Universities
,,,94-122,Sierra Nevada  University,Incline Village,Nevada,50% to 59%,Below Average,Private,Regional Universities
32,13,22,-,Dartmouth College,Hanover,New Hampshire,90% to 99%,Excellent,Private,National Universities
136,136,136,-,University of New Hampshire,Durham,New Hampshire,70% to 79%,Good,Public,National Universities
,,398,126,Plymouth  State University,Plymouth,New Hampshire,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Franklin Pierce University,Rindge,New Hampshire,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Granite State College,Concord,New Hampshire,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,New England College,Henniker,New Hampshire,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Rivier University,Nashua,New Hampshire,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Southern  New Hampshire University,Manchester,New Hampshire,50% to 59%,Below Average,Public,Regional Universities
,,106,27,Rider University,Lawrenceville,New Jersey,60% to 69%,Average,Private,Regional Universities
8,1,4,-,Princeton  University,Princeton,New Jersey,90% to 99%,Excellent,Private,National Universities
,,40,6,The College of New Jersey,Ewing,New Jersey,80% to 89%,Very Good,Private,Regional Universities
63,63,63,-,Rutgers  University--New Brunswick,Piscataway,New Jersey,80% to 89%,Very Good,Private,National Universities
83,83,83,-,Stevens  Institute  of Technology,Hoboken,New Jersey,80% to 89%,Very Good,Private,National Universities
90,103,96,-,New Jersey Institute  of Technology,Newark,New Jersey,80% to 89%,Very Good,Public,National Universities
97,127,112,-,Rutgers  - The State University of New Jer,Newark,New Jersey,70% to 79%,Good,Public,National Universities
127,127,127,-,Rutgers  University--Newark,Newark,New Jersey,70% to 79%,Good,Private,National Universities
127,127,127,-,Seton Hall University,South Orange,New Jersey,70% to 79%,Good,Private,National Universities
148,148,148,-,Rutgers  University--Camden,Camden,New Jersey,70% to 79%,Good,Private,National Universities
179,179,179,-,Rowan University,Glassboro,New Jersey,70% to 79%,Good,Private,National Universities
179,179,179,-,Montclair  State University,Montclair,New Jersey,70% to 79%,Good,Public,National Universities
,,71,18,Monmouth University,West Long Branch,New Jersey,70% to 79%,Good,Private,Regional Universities
,,137,34,Ramapo College of New Jersey,Mahwah,New Jersey,60% to 69%,Average,Private,Regional Universities
,,142,34,Stockton  University,Galloway,New Jersey,60% to 69%,Average,Private,Regional Universities
,,163,41,Fairleigh Dickinson  University,Teaneck,New Jersey,60% to 69%,Average,Private,Regional Universities
,,201,58,Saint Peters University,Jersey City,New Jersey,50% to 59%,Below Average,Private,Regional Universities
,,272,85,Caldwell  University,Caldwell,New Jersey,50% to 59%,Below Average,Private,Regional Universities
,,304,94,William  Paterson University of New Jerse,Wayne,New Jersey,50% to 59%,Below Average,Public,Regional Universities
,,352,109,Centenary  University,Hackettstown,New Jersey,50% to 59%,Below Average,Public,Regional Universities
,,359,114,Georgian  Court University,Lakewood,New Jersey,50% to 59%,Below Average,Public,Regional Universities
,,374,119,Saint Elizabeth  University,Morristown,New Jersey,50% to 59%,Below Average,Public,Regional Universities
,,,131-171,Kean University,Union,New Jersey,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Felician University,Lodi,New Jersey,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,New Jersey City University,Jersey City,New Jersey,50% to 59%,Below Average,Private,Regional Universities
,,,Unranked,Thomas  Edison State University,Trenton,New Jersey,50% to 59%,Below Average,Public,Regional Universities
,,82,20,New Mexico Tech,Socorro,New Mexico,70% to 79%,Good,Public,Regional Universities
74,196,135,-,University of New Mexico,Albuquerque,New Mexico,70% to 79%,Good,Public,National Universities
227,227,227,-,New Mexico State University,Las Cruces,New Mexico,60% to 69%,Average,Public,National Universities
,,,94-122,Eastern New Mexico University,Portales,New Mexico,50% to 59%,Below Average,Public,Regional Universities
,,,94-122,New Mexico Highlands  University,Las Vegas,New Mexico,50% to 59%,Below Average,Private,Regional Universities
,,,94-122,University of the Southwest,Hobbs,New Mexico,50% to 59%,Below Average,Private,Regional Universities
,,,94-122,Western  New Mexico University,Silver City,New Mexico,50% to 59%,Below Average,Public,Regional Universities
7,2,4,-,Columbia  University,New York,New York,90% to 99%,Excellent,Private,National Universities
12,17,14,-,Cornell  University,Ithica,New York,90% to 99%,Excellent,Private,National Universities
9,28,18,-,New York University,New York,New York,90% to 99%,Excellent,Private,National Universities
30,34,32,-,University of Rochester,Rochester,New York,90% to 99%,Excellent,Private,National Universities
,,52,10,Ithica College,Ithica,New York,80% to 89%,Very Good,Private,Regional Universities
,,55,11,Marist College,Poughkeepsie,New York,80% to 89%,Very Good,Private,Regional Universities
59,59,59,-,Syracuse  University,Syracuse,New York,80% to 89%,Very Good,Private,National Universities
39,93,66,-,Stony Brook University--SUNY,New York,New York,80% to 89%,Very Good,Public,National Universities
67,67,67,-,Rensselaer Polytechnic Institute,Somewhere,New York,80% to 89%,Very Good,Private,National Universities
68,68,68,-,Fordham  University,"New York, NY",New York,80% to 89%,Very Good,Private,National Universities
68,68,68,-,Yeshiva  University,New York,New York,80% to 89%,Very Good,Private,National Universities
50,93,71,-,University at Buffalo--SUNY,New York,New York,80% to 89%,Very Good,Public,National Universities
67,83,75,-,Binghamton University--SUNY,Somehwere,New York,80% to 89%,Very Good,Public,National Universities
117,117,117,-,Rochester Institute  of Technology,Rochester,New York,80% to 89%,Very Good,Private,National Universities
117,117,117,-,SUNY College of Environmental Science a,Syracuse,New York,80% to 89%,Very Good,Public,National Universities
,,58,12,SUNY Polytechnic Institute,Utica,New York,70% to 79%,Good,Public,Regional Universities
127,127,127,-,Clarkson University,Potsdam,New York,70% to 79%,Good,Private,National Universities
93,172,132,-,University at Albany--SUNY,Albany,New York,70% to 79%,Good,Public,National Universities
148,148,148,-,CUNY--City College,New York,New York,70% to 79%,Good,Public,National Universities
162,162,162,-,Hofstra  University,Hempstead,New York,70% to 79%,Good,Private,National Universities
172,172,172,-,Adelphi  University,Garden City,New York,70% to 79%,Good,Private,National Universities
172,172,172,-,St. John's University (NY),Queens,New York,70% to 79%,Good,Private,National Universities
187,187,187,-,St. John Fisher College,Rochester,New York,70% to 79%,Good,Public,National Universities
,,61,13,Le Moyne College,Syracuse,New York,70% to 79%,Good,Private,Regional Universities
,,61,13,Manhattan College,Riverdale,New York,70% to 79%,Good,Private,Regional Universities
,,61,13,Siena College,Loudonville,New York,70% to 79%,Good,Private,Regional Universities
,,65,16,CUNY--Baruch College,New York,New York,70% to 79%,Good,Public,Regional Universities
,,65,16,SUNY--Geneseo,Geneseo,New York,70% to 79%,Good,Public,Regional Universities
,,71,18,CUNY--Hunter College,New York,New York,70% to 79%,Good,Public,Regional Universities
,,71,18,St. Bonaventure University,St. Bonaventure,New York,70% to 79%,Good,Private,Regional Universities
,,85,21,Canisius  College,Buffalo,New York,70% to 79%,Good,Private,Regional Universities
,,85,21,Niagara  University,Niagara University,New York,70% to 79%,Good,Private,Regional Universities
213,213,213,-,Pace University,New York,New York,60% to 69%,Average,Private,National Universities
213,213,213,-,Touro College,New York,New York,60% to 69%,Average,Private,National Universities
227,227,227,-,Russell  Sage College,Troy,New York,60% to 69%,Average,Private,National Universities
288,288,288,-,Long Island University,Brookville,New York,60% to 69%,Average,Private,National Universities
,,106,27,Molloy College,Rockville  Centre,New York,60% to 69%,Average,Private,Regional Universities
,,123,31,SUNY--New Paltz,New Paltz,New York,60% to 69%,Average,Public,Regional Universities
,,131,33,Nazareth College,Rochester,New York,60% to 69%,Average,Private,Regional Universities
,,134,34,New York Institute  of Technology,Old Westbury,New York,60% to 69%,Average,Private,Regional Universities
,,147,35,Wagner College,Staten Island,New York,60% to 69%,Average,Private,Regional Universities
,,153,37,Alfred University,Alfred,New York,60% to 69%,Average,Private,Regional Universities
,,160,40,CUNY--John Jay College of Criminal Justice,New York,New York,60% to 69%,Average,Public,Regional Universities
,,173,47,CUNY-Queens College,Queens,New York,60% to 69%,Average,Public,Regional Universities
,,185,55,SUNY--Oswego,Oswego,New York,60% to 69%,Average,Public,Regional Universities
,,191,58,Iona College,New Rochelle,New York,60% to 69%,Average,Private,Regional Universities
,,199,58,Manhattanville College,Purchase,New York,60% to 69%,Average,Private,Regional Universities
299-391,299-391,299-391,-,D'Youville  College,Buffalo,New York,50% to 59%,Below Average,Private,National Universities
,,204,59,SUNY Maritime  College,Throggs  Neck,New York,50% to 59%,Below Average,Public,Regional Universities
,,213,62,CUNY--Lehman College,Bronx,New York,50% to 59%,Below Average,Public,Regional Universities
,,219,64,Monroe  College,Bronx,New York,50% to 59%,Below Average,Private,Regional Universities
,,229,68,SUNY--Fredonia,Fredonia,New York,50% to 59%,Below Average,Public,Regional Universities
,,232,69,SUNY--Platsburgh,Platsburgh,New York,50% to 59%,Below Average,Public,Regional Universities
,,238,71,CUNY--Brooklyn College,Brooklyn,New York,50% to 59%,Below Average,Public,Regional Universities
,,241,73,SUNY College--Cortland,Cortland,New York,50% to 59%,Below Average,Private,Regional Universities
,,251,78,Lebanon Valley College,Annville,New York,50% to 59%,Below Average,Private,Regional Universities
,,254,78,SUNY Brockport,Brockport,New York,50% to 59%,Below Average,Public,Regional Universities
,,256,78,SUNY College--Oneonta,Oneonta,New York,50% to 59%,Below Average,Public,Regional Universities
,,259,78,Roberts  Wesleyan  College,Rochester,New York,50% to 59%,Below Average,Public,Regional Universities
,,266,82,St. Joseph's  College (NY),Brooklyn,New York,50% to 59%,Below Average,Private,Regional Universities
,,268,82,SUNY College--Potsdam,Potsdam,New York,50% to 59%,Below Average,Public,Regional Universities
,,299,94,College of Mount St. Vincent,Bronx,New York,50% to 59%,Below Average,Private,Regional Universities
,,302,94,Utica College,Utica,New York,50% to 59%,Below Average,Private,Regional Universities
,,311,97,Mount St. Mary College,Newburgh,New York,50% to 59%,Below Average,Private,Regional Universities
,,334,103,The College of Saint Rose,Albany,New York,50% to 59%,Below Average,Public,Regional Universities
,,347,109,SUNY Buffalo State,Buffalo,New York,50% to 59%,Below Average,Public,Regional Universities
,,377,119,St. Thomas  Aquinas  College,Sparkill,New York,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Keuka College,Keuka Park,New York,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,CUNY--College of Staten Island,Staten Island,New York,50% to 59%,Below Average,Public,Regional Universities
,,,131-171,Dominican College,Orangeburg,New York,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Medaille  College,Buffalo,New York,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Mercy College,Dobbs Ferry,New York,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,Metropolitan College of New York,New York,New York,50% to 59%,Below Average,Public,Regional Universities
,,,131-171,Nyack College,New York,New York,50% to 59%,Below Average,Private,Regional Universities
,,,131-171,SUNY College--Old Westbury,Old Westbury,New York,50% to 59%,Below Average,Public,Regional Universities
,,,131-171,SUNY Empire State College,Saratoga  Springs,New York,50% to 59%,Below Average,Public,Regional Universities
,,,Unranked,Fashion Institute  of Technology,New York,New York,50% to 59%,Below Average,Private,Regional Universities
13,9,11,-,Duke University,Durham,North Carolina,90% to 99%,Excellent,Private,National Universities
32,28,30,-,University of North Carolina--Chapel Hill,Chapel Hill,North Carolina,90% to 99%,Excellent,Public,National Universities
85,28,56,-,Wake Forest University,Winston-Salem,North Carolina,90% to 99%,Excellent,Private,National Universities
,,40,6,Appalachian State University,Boone,North Carolina,80% to 89%,Very Good,Public,Regional Universities
67,79,73,-,North Carolina  State University,Somewhere,North Carolina,80% to 89%,Very Good,Public,National Universities
83,83,83,-,Elon University,Elon,North Carolina,80% to 89%,Very Good,Private,National Universities
187,187,187,-,University of North Carolina--Wilmington,Wilmington,North Carolina,70% to 79%,Good,Public,National Universities
213,213,213,-,East Carolina  University,Greenville,North Carolina,60% to 69%,Average,Public,National Universities
227,227,227,-,University of North Carolina--Charlotte,Charlotte,North Carolina,60% to 69%,Average,Public,National Universities
277,277,277,-,Campbell  University,Buies Creek,North Carolina,60% to 69%,Average,Private,National Universities
277,277,277,-,Gardner-Webb University,Boiling  Springs,North Carolina,60% to 69%,Average,Private,National Universities
299-391,299-391,299-391,-,Wingate  University,Wingate,North Carolina,50% to 59%,Below Average,Private,National Universities
,,334,104,Minot State University,Minot,North Dakota,50% to 59%,Below Average,Public,Regional Universities
249,249,249,-,University of North Dakota,Grand Forks,North Dakota,60% to 69%,Average,Public,National Universities
277,277,277,-,North Dakota State University,Fargo,North Dakota,60% to 69%,Average,Public,National Universities
299-391,299-391,299-391,-,University of Mary,Bismarck,North Dakota,50% to 59%,Below Average,Private,National Universities
,,31,2,John Carroll University,University Heights,Ohio,90% to 99%,Excellent,Private,Regional Universities
,,37,5,Xavier University,Cincinnati,Ohio,90% to 99%,Excellent,Private,Regional Universities
41,42,41,-,Case Western Reserve  University,Cleveland,Ohio,90% to 99%,Excellent,Private,National Universities
50,49,49,-,Ohio State University--Columbus,Columbus,Ohio,90% to 99%,Excellent,Public,National Universities
,,49,9,Baldwin Wallace  University,Berea,Ohio,80% to 89%,Very Good,Private,Regional Universities
103,103,103,-,Miami University--Oxford,Oxford,Ohio,80% to 89%,Very Good,Private,National Universities
,,66,12,Otterbein  University,Westerville,Ohio,70% to 79%,Good,Private,Regional Universities
,,73,17,Cedarville  University,Cedarville,Ohio,70% to 79%,Good,Private,Regional Universities
,,79,19,Franciscan University of Steubenville,Steubenville,Ohio,70% to 79%,Good,Private,Regional Universities
127,127,127,-,University of Dayton,Dayton,Ohio,70% to 79%,Good,Private,National Universities
,,130,36,Muskingum University,New Concord,Ohio,70% to 79%,Good,Private,Regional Universities
,,133,37,Capital University,Columbus,Ohio,70% to 79%,Good,Private,Regional Universities
148,148,148,-,University of Cincinnati,Cincinnati,Ohio,70% to 79%,Good,Private,National Universities
179,179,179,-,Ohio University,Athens,Ohio,70% to 79%,Good,Public,National Universities
,,184,54,Ashland University,Ashland,Ohio,60% to 69%,Average,Private,Regional Universities
,,197,54,Walsh University,North Canton,Ohio,60% to 69%,Average,Private,Regional Universities
213,213,213,-,Kent State University,Kent,Ohio,60% to 69%,Average,Public,National Universities
,,217,64,Ohio Dominican University,Columbus,Ohio,60% to 69%,Average,Private,Regional Universities
,,224,64,Ursuline  College,Pepper Pike,Ohio,60% to 69%,Average,Private,Regional Universities
,,249,74,Mount Vernon Nazarene  University,Mount Vernon,Ohio,60% to 69%,Average,Private,Regional Universities
249,249,249,-,Bowling  Green State University,Bowling  Green,Ohio,60% to 69%,Average,Private,National Universities
,,262,79,Mount St. Joseph University,Cincinnati,Ohio,60% to 69%,Average,Private,Regional Universities
263,263,263,-,University of Findlay,Findlay,Ohio,60% to 69%,Average,Private,National Universities
,,273,82,Malone University,Canton,Ohio,60% to 69%,Average,Private,Regional Universities
299-391,299-391,299-391,-,Union Institute  and University,Cincinnati,Ohio,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,University of Akron,Akron,Ohio,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,University of Toledo,Toledo,Ohio,50% to 59%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Cleveland  State University,Cleveland,Ohio,50% to 59%,Below Average,Public,National Universities
299-391,299-391,299-391,-,Wright State University,Dayton,Ohio,50% to 59%,Below Average,Public,National Universities
,,,119-157,Lake Erie College,Painesville,Ohio,50% to 59%,Below Average,Private,Regional Universities
